V1,V2,V3
-126.229721362229,48.4,-933.306762695312
-126.213003095975,48.4,-827.896789550781
-126.196284829721,48.4,-685.396789550781
-126.179566563468,48.4,-523.576782226562
-126.162848297214,48.4,-412.046752929688
-126.14613003096,48.4,-363.776763916016
-126.129411764706,48.4,-334.940979003906
-126.112693498452,48.4,-312.140991210938
-126.095975232198,48.4,-289.230987548828
-126.079256965944,48.4,-277.651000976562
-126.06253869969,48.4,-272.401000976562
-126.045820433437,48.4,-282.311004638672
-126.029102167183,48.4,-272.850982666016
-126.012383900929,48.4,-270.890991210938
-125.995665634675,48.4,-247.879333496094
-125.978947368421,48.4,-369.149322509766
-125.962229102167,48.4,-434.039337158203
-125.945510835913,48.4,-473.5693359375
-125.928792569659,48.4,-473.869323730469
-125.912074303406,48.4,-286.519348144531
-125.895356037152,48.4,-220.909332275391
-125.878637770898,48.4,-171.13932800293
-125.861919504644,48.4,-157.747650146484
-125.84520123839,48.4,-153.497650146484
-125.828482972136,48.4,-151.967651367188
-125.811764705882,48.4,-152.237655639648
-125.795046439628,48.4,-150.747650146484
-125.778328173375,48.4,-151.057662963867
-125.761609907121,48.4,-152.437652587891
-125.744891640867,48.4,-141.477661132812
-125.728173374613,48.4,-140.022659301758
-125.711455108359,48.4,-144.392654418945
-125.694736842105,48.4,-143.732650756836
-125.678018575851,48.4,-142.002655029297
-125.661300309598,48.4,-140.842651367188
-125.644582043344,48.4,-137.54264831543
-125.62786377709,48.4,-134.642654418945
-125.611145510836,48.4,-132.452651977539
-125.594427244582,48.4,-134.03157043457
-125.577708978328,48.4,-135.241561889648
-125.560990712074,48.4,-135.321563720703
-125.54427244582,48.4,-137.431564331055
-125.527554179567,48.4,-137.931564331055
-125.510835913313,48.4,-136.951568603516
-125.494117647059,48.4,-131.971557617188
-125.477399380805,48.4,-129.111557006836
-125.460681114551,48.4,-129.692977905273
-125.443962848297,48.4,-143.192977905273
-125.427244582043,48.4,-160.402984619141
-125.410526315789,48.4,-178.322982788086
-125.393808049536,48.4,-178.212982177734
-125.377089783282,48.4,-154.282989501953
-125.360371517028,48.4,-126.682983398438
-125.343653250774,48.4,-122.212982177734
-125.32693498452,48.4,-120.740661621094
-125.310216718266,48.4,-120.130661010742
-125.293498452012,48.4,-120.760665893555
-125.276780185759,48.4,-121.300666809082
-125.260061919505,48.4,-124.9306640625
-125.243343653251,48.4,-168.810668945312
-125.226625386997,48.4,-188.040664672852
-125.209907120743,48.4,-178.810668945312
-125.193188854489,48.4,-173.51416015625
-125.176470588235,48.4,-175.224151611328
-125.159752321981,48.4,-147.254150390625
-125.143034055728,48.4,-117.634155273438
-125.126315789474,48.4,-114.83415222168
-125.10959752322,48.4,-113.774154663086
-125.092879256966,48.4,-114.50415802002
-125.076160990712,48.4,-114.934158325195
-125.059442724458,48.4,-113.289779663086
-125.042724458204,48.4,-130.159774780273
-125.02600619195,48.4,-187.139770507812
-125.009287925697,48.4,-276.269775390625
-124.992569659443,48.4,-280.649780273438
-124.975851393189,48.4,-195.089782714844
-124.959133126935,48.4,-178.159774780273
-124.942414860681,48.4,-195.339782714844
-124.925696594427,48.4,-191.297027587891
-124.908978328173,48.4,-192.387023925781
-124.89226006192,48.4,-291.307037353516
-124.875541795666,48.4,-333.487030029297
-124.858823529412,48.4,-303.167022705078
-124.842105263158,48.4,-247.597030639648
-124.825386996904,48.4,-217.897033691406
-124.80866873065,48.4,-179.147033691406
-124.791950464396,48.4,-139.693634033203
-124.775232198142,48.4,-123.193634033203
-124.758513931889,48.4,-89.2036361694336
